stack,cycle_label,cycles,condition,current_density_A_cm2,file,sheet,sheet_label,figure
Stack1,0_AfterBreakIn,0,1,0.3,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-1-0_3.xlsx,Sheet1,Whole Stack,results\figures\eis\individual\Stack1\Whole_Stack\0.3Acm2\0_AfterBreakIn_condition_1_Real_Ageing_EIS-1-0_3.png
Stack1,0_AfterBreakIn,0,1,0.3,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-1-0_3.xlsx,Sheet2,Cell 01,results\figures\eis\individual\Stack1\Cell_01\0.3Acm2\0_AfterBreakIn_condition_1_Real_Ageing_EIS-1-0_3.png
Stack1,0_AfterBreakIn,0,1,0.3,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-1-0_3.xlsx,Sheet3,Cell 03,results\figures\eis\individual\Stack1\Cell_03\0.3Acm2\0_AfterBreakIn_condition_1_Real_Ageing_EIS-1-0_3.png
Stack1,0_AfterBreakIn,0,1,0.3,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-1-0_3.xlsx,Sheet4,Cell 05,results\figures\eis\individual\Stack1\Cell_05\0.3Acm2\0_AfterBreakIn_condition_1_Real_Ageing_EIS-1-0_3.png
Stack1,0_AfterBreakIn,0,1,0.3,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-1-0_3.xlsx,Sheet5,Cell 10,results\figures\eis\individual\Stack1\Cell_10\0.3Acm2\0_AfterBreakIn_condition_1_Real_Ageing_EIS-1-0_3.png
Stack1,0_AfterBreakIn,0,1,0.3,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-1-0_3.xlsx,Sheet6,Cell 15,results\figures\eis\individual\Stack1\Cell_15\0.3Acm2\0_AfterBreakIn_condition_1_Real_Ageing_EIS-1-0_3.png
Stack1,0_AfterBreakIn,0,1,0.3,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-1-0_3.xlsx,Sheet7,Cell 20,results\figures\eis\individual\Stack1\Cell_20\0.3Acm2\0_AfterBreakIn_condition_1_Real_Ageing_EIS-1-0_3.png
Stack1,0_AfterBreakIn,0,1,0.3,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-1-0_3.xlsx,Sheet8,Cell 22,results\figures\eis\individual\Stack1\Cell_22\0.3Acm2\0_AfterBreakIn_condition_1_Real_Ageing_EIS-1-0_3.png
Stack1,0_AfterBreakIn,0,1,0.3,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-1-0_3.xlsx,Sheet9,Cell 24,results\figures\eis\individual\Stack1\Cell_24\0.3Acm2\0_AfterBreakIn_condition_1_Real_Ageing_EIS-1-0_3.png
Stack1,0_AfterBreakIn,0,1,0.7,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-1-0_7.xlsx,Sheet1,Whole Stack,results\figures\eis\individual\Stack1\Whole_Stack\0.7Acm2\0_AfterBreakIn_condition_1_Real_Ageing_EIS-1-0_7.png
Stack1,0_AfterBreakIn,0,1,0.7,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-1-0_7.xlsx,Sheet2,Cell 01,results\figures\eis\individual\Stack1\Cell_01\0.7Acm2\0_AfterBreakIn_condition_1_Real_Ageing_EIS-1-0_7.png
Stack1,0_AfterBreakIn,0,1,0.7,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-1-0_7.xlsx,Sheet3,Cell 03,results\figures\eis\individual\Stack1\Cell_03\0.7Acm2\0_AfterBreakIn_condition_1_Real_Ageing_EIS-1-0_7.png
Stack1,0_AfterBreakIn,0,1,0.7,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-1-0_7.xlsx,Sheet4,Cell 05,results\figures\eis\individual\Stack1\Cell_05\0.7Acm2\0_AfterBreakIn_condition_1_Real_Ageing_EIS-1-0_7.png
Stack1,0_AfterBreakIn,0,1,0.7,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-1-0_7.xlsx,Sheet5,Cell 10,results\figures\eis\individual\Stack1\Cell_10\0.7Acm2\0_AfterBreakIn_condition_1_Real_Ageing_EIS-1-0_7.png
Stack1,0_AfterBreakIn,0,1,0.7,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-1-0_7.xlsx,Sheet6,Cell 15,results\figures\eis\individual\Stack1\Cell_15\0.7Acm2\0_AfterBreakIn_condition_1_Real_Ageing_EIS-1-0_7.png
Stack1,0_AfterBreakIn,0,1,0.7,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-1-0_7.xlsx,Sheet7,Cell 20,results\figures\eis\individual\Stack1\Cell_20\0.7Acm2\0_AfterBreakIn_condition_1_Real_Ageing_EIS-1-0_7.png
Stack1,0_AfterBreakIn,0,1,0.7,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-1-0_7.xlsx,Sheet8,Cell 22,results\figures\eis\individual\Stack1\Cell_22\0.7Acm2\0_AfterBreakIn_condition_1_Real_Ageing_EIS-1-0_7.png
Stack1,0_AfterBreakIn,0,1,0.7,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-1-0_7.xlsx,Sheet9,Cell 24,results\figures\eis\individual\Stack1\Cell_24\0.7Acm2\0_AfterBreakIn_condition_1_Real_Ageing_EIS-1-0_7.png
Stack1,0_AfterBreakIn,0,2,0.3,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-2-0_3.xlsx,Sheet1,Whole Stack,results\figures\eis\individual\Stack1\Whole_Stack\0.3Acm2\0_AfterBreakIn_condition_2_Real_Ageing_EIS-2-0_3.png
Stack1,0_AfterBreakIn,0,2,0.3,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-2-0_3.xlsx,Sheet2,Cell 01,results\figures\eis\individual\Stack1\Cell_01\0.3Acm2\0_AfterBreakIn_condition_2_Real_Ageing_EIS-2-0_3.png
Stack1,0_AfterBreakIn,0,2,0.3,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-2-0_3.xlsx,Sheet3,Cell 03,results\figures\eis\individual\Stack1\Cell_03\0.3Acm2\0_AfterBreakIn_condition_2_Real_Ageing_EIS-2-0_3.png
Stack1,0_AfterBreakIn,0,2,0.3,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-2-0_3.xlsx,Sheet4,Cell 05,results\figures\eis\individual\Stack1\Cell_05\0.3Acm2\0_AfterBreakIn_condition_2_Real_Ageing_EIS-2-0_3.png
Stack1,0_AfterBreakIn,0,2,0.3,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-2-0_3.xlsx,Sheet5,Cell 10,results\figures\eis\individual\Stack1\Cell_10\0.3Acm2\0_AfterBreakIn_condition_2_Real_Ageing_EIS-2-0_3.png
Stack1,0_AfterBreakIn,0,2,0.3,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-2-0_3.xlsx,Sheet6,Cell 15,results\figures\eis\individual\Stack1\Cell_15\0.3Acm2\0_AfterBreakIn_condition_2_Real_Ageing_EIS-2-0_3.png
Stack1,0_AfterBreakIn,0,2,0.3,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-2-0_3.xlsx,Sheet7,Cell 20,results\figures\eis\individual\Stack1\Cell_20\0.3Acm2\0_AfterBreakIn_condition_2_Real_Ageing_EIS-2-0_3.png
Stack1,0_AfterBreakIn,0,2,0.3,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-2-0_3.xlsx,Sheet8,Cell 22,results\figures\eis\individual\Stack1\Cell_22\0.3Acm2\0_AfterBreakIn_condition_2_Real_Ageing_EIS-2-0_3.png
Stack1,0_AfterBreakIn,0,2,0.3,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-2-0_3.xlsx,Sheet9,Cell 24,results\figures\eis\individual\Stack1\Cell_24\0.3Acm2\0_AfterBreakIn_condition_2_Real_Ageing_EIS-2-0_3.png
Stack1,0_AfterBreakIn,0,2,0.7,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-2-0_7.xlsx,Sheet1,Whole Stack,results\figures\eis\individual\Stack1\Whole_Stack\0.7Acm2\0_AfterBreakIn_condition_2_Real_Ageing_EIS-2-0_7.png
Stack1,0_AfterBreakIn,0,2,0.7,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-2-0_7.xlsx,Sheet2,Cell 01,results\figures\eis\individual\Stack1\Cell_01\0.7Acm2\0_AfterBreakIn_condition_2_Real_Ageing_EIS-2-0_7.png
Stack1,0_AfterBreakIn,0,2,0.7,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-2-0_7.xlsx,Sheet3,Cell 03,results\figures\eis\individual\Stack1\Cell_03\0.7Acm2\0_AfterBreakIn_condition_2_Real_Ageing_EIS-2-0_7.png
Stack1,0_AfterBreakIn,0,2,0.7,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-2-0_7.xlsx,Sheet4,Cell 05,results\figures\eis\individual\Stack1\Cell_05\0.7Acm2\0_AfterBreakIn_condition_2_Real_Ageing_EIS-2-0_7.png
Stack1,0_AfterBreakIn,0,2,0.7,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-2-0_7.xlsx,Sheet5,Cell 10,results\figures\eis\individual\Stack1\Cell_10\0.7Acm2\0_AfterBreakIn_condition_2_Real_Ageing_EIS-2-0_7.png
Stack1,0_AfterBreakIn,0,2,0.7,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-2-0_7.xlsx,Sheet6,Cell 15,results\figures\eis\individual\Stack1\Cell_15\0.7Acm2\0_AfterBreakIn_condition_2_Real_Ageing_EIS-2-0_7.png
Stack1,0_AfterBreakIn,0,2,0.7,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-2-0_7.xlsx,Sheet7,Cell 20,results\figures\eis\individual\Stack1\Cell_20\0.7Acm2\0_AfterBreakIn_condition_2_Real_Ageing_EIS-2-0_7.png
Stack1,0_AfterBreakIn,0,2,0.7,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-2-0_7.xlsx,Sheet8,Cell 22,results\figures\eis\individual\Stack1\Cell_22\0.7Acm2\0_AfterBreakIn_condition_2_Real_Ageing_EIS-2-0_7.png
Stack1,0_AfterBreakIn,0,2,0.7,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-2-0_7.xlsx,Sheet9,Cell 24,results\figures\eis\individual\Stack1\Cell_24\0.7Acm2\0_AfterBreakIn_condition_2_Real_Ageing_EIS-2-0_7.png
Stack1,0_AfterBreakIn,0,6,0.3,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-6-0_3.xlsx,Sheet1,Whole Stack,results\figures\eis\individual\Stack1\Whole_Stack\0.3Acm2\0_AfterBreakIn_condition_6_Real_Ageing_EIS-6-0_3.png
Stack1,0_AfterBreakIn,0,6,0.3,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-6-0_3.xlsx,Sheet2,Cell 01,results\figures\eis\individual\Stack1\Cell_01\0.3Acm2\0_AfterBreakIn_condition_6_Real_Ageing_EIS-6-0_3.png
Stack1,0_AfterBreakIn,0,6,0.3,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-6-0_3.xlsx,Sheet3,Cell 03,results\figures\eis\individual\Stack1\Cell_03\0.3Acm2\0_AfterBreakIn_condition_6_Real_Ageing_EIS-6-0_3.png
Stack1,0_AfterBreakIn,0,6,0.3,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-6-0_3.xlsx,Sheet4,Cell 05,results\figures\eis\individual\Stack1\Cell_05\0.3Acm2\0_AfterBreakIn_condition_6_Real_Ageing_EIS-6-0_3.png
Stack1,0_AfterBreakIn,0,6,0.3,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-6-0_3.xlsx,Sheet5,Cell 10,results\figures\eis\individual\Stack1\Cell_10\0.3Acm2\0_AfterBreakIn_condition_6_Real_Ageing_EIS-6-0_3.png
Stack1,0_AfterBreakIn,0,6,0.3,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-6-0_3.xlsx,Sheet6,Cell 15,results\figures\eis\individual\Stack1\Cell_15\0.3Acm2\0_AfterBreakIn_condition_6_Real_Ageing_EIS-6-0_3.png
Stack1,0_AfterBreakIn,0,6,0.3,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-6-0_3.xlsx,Sheet7,Cell 20,results\figures\eis\individual\Stack1\Cell_20\0.3Acm2\0_AfterBreakIn_condition_6_Real_Ageing_EIS-6-0_3.png
Stack1,0_AfterBreakIn,0,6,0.3,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-6-0_3.xlsx,Sheet8,Cell 22,results\figures\eis\individual\Stack1\Cell_22\0.3Acm2\0_AfterBreakIn_condition_6_Real_Ageing_EIS-6-0_3.png
Stack1,0_AfterBreakIn,0,6,0.3,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-6-0_3.xlsx,Sheet9,Cell 24,results\figures\eis\individual\Stack1\Cell_24\0.3Acm2\0_AfterBreakIn_condition_6_Real_Ageing_EIS-6-0_3.png
Stack1,0_AfterBreakIn,0,6,0.7,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-6-0_7.xlsx,Sheet1,Whole Stack,results\figures\eis\individual\Stack1\Whole_Stack\0.7Acm2\0_AfterBreakIn_condition_6_Real_Ageing_EIS-6-0_7.png
Stack1,0_AfterBreakIn,0,6,0.7,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-6-0_7.xlsx,Sheet2,Cell 01,results\figures\eis\individual\Stack1\Cell_01\0.7Acm2\0_AfterBreakIn_condition_6_Real_Ageing_EIS-6-0_7.png
Stack1,0_AfterBreakIn,0,6,0.7,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-6-0_7.xlsx,Sheet3,Cell 03,results\figures\eis\individual\Stack1\Cell_03\0.7Acm2\0_AfterBreakIn_condition_6_Real_Ageing_EIS-6-0_7.png
Stack1,0_AfterBreakIn,0,6,0.7,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-6-0_7.xlsx,Sheet4,Cell 05,results\figures\eis\individual\Stack1\Cell_05\0.7Acm2\0_AfterBreakIn_condition_6_Real_Ageing_EIS-6-0_7.png
Stack1,0_AfterBreakIn,0,6,0.7,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-6-0_7.xlsx,Sheet5,Cell 10,results\figures\eis\individual\Stack1\Cell_10\0.7Acm2\0_AfterBreakIn_condition_6_Real_Ageing_EIS-6-0_7.png
Stack1,0_AfterBreakIn,0,6,0.7,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-6-0_7.xlsx,Sheet6,Cell 15,results\figures\eis\individual\Stack1\Cell_15\0.7Acm2\0_AfterBreakIn_condition_6_Real_Ageing_EIS-6-0_7.png
Stack1,0_AfterBreakIn,0,6,0.7,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-6-0_7.xlsx,Sheet7,Cell 20,results\figures\eis\individual\Stack1\Cell_20\0.7Acm2\0_AfterBreakIn_condition_6_Real_Ageing_EIS-6-0_7.png
Stack1,0_AfterBreakIn,0,6,0.7,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-6-0_7.xlsx,Sheet8,Cell 22,results\figures\eis\individual\Stack1\Cell_22\0.7Acm2\0_AfterBreakIn_condition_6_Real_Ageing_EIS-6-0_7.png
Stack1,0_AfterBreakIn,0,6,0.7,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-6-0_7.xlsx,Sheet9,Cell 24,results\figures\eis\individual\Stack1\Cell_24\0.7Acm2\0_AfterBreakIn_condition_6_Real_Ageing_EIS-6-0_7.png
Stack1,0_AfterBreakIn,0,7,0.3,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-7-0_3.xlsx,Sheet1,Whole Stack,results\figures\eis\individual\Stack1\Whole_Stack\0.3Acm2\0_AfterBreakIn_condition_7_Real_Ageing_EIS-7-0_3.png
Stack1,0_AfterBreakIn,0,7,0.3,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-7-0_3.xlsx,Sheet2,Cell 01,results\figures\eis\individual\Stack1\Cell_01\0.3Acm2\0_AfterBreakIn_condition_7_Real_Ageing_EIS-7-0_3.png
Stack1,0_AfterBreakIn,0,7,0.3,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-7-0_3.xlsx,Sheet3,Cell 03,results\figures\eis\individual\Stack1\Cell_03\0.3Acm2\0_AfterBreakIn_condition_7_Real_Ageing_EIS-7-0_3.png
Stack1,0_AfterBreakIn,0,7,0.3,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-7-0_3.xlsx,Sheet4,Cell 05,results\figures\eis\individual\Stack1\Cell_05\0.3Acm2\0_AfterBreakIn_condition_7_Real_Ageing_EIS-7-0_3.png
Stack1,0_AfterBreakIn,0,7,0.3,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-7-0_3.xlsx,Sheet5,Cell 10,results\figures\eis\individual\Stack1\Cell_10\0.3Acm2\0_AfterBreakIn_condition_7_Real_Ageing_EIS-7-0_3.png
Stack1,0_AfterBreakIn,0,7,0.3,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-7-0_3.xlsx,Sheet6,Cell 15,results\figures\eis\individual\Stack1\Cell_15\0.3Acm2\0_AfterBreakIn_condition_7_Real_Ageing_EIS-7-0_3.png
Stack1,0_AfterBreakIn,0,7,0.3,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-7-0_3.xlsx,Sheet7,Cell 20,results\figures\eis\individual\Stack1\Cell_20\0.3Acm2\0_AfterBreakIn_condition_7_Real_Ageing_EIS-7-0_3.png
Stack1,0_AfterBreakIn,0,7,0.3,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-7-0_3.xlsx,Sheet8,Cell 22,results\figures\eis\individual\Stack1\Cell_22\0.3Acm2\0_AfterBreakIn_condition_7_Real_Ageing_EIS-7-0_3.png
Stack1,0_AfterBreakIn,0,7,0.3,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-7-0_3.xlsx,Sheet9,Cell 24,results\figures\eis\individual\Stack1\Cell_24\0.3Acm2\0_AfterBreakIn_condition_7_Real_Ageing_EIS-7-0_3.png
Stack1,0_AfterBreakIn,0,7,0.7,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-7-0_7.xlsx,Sheet1,Whole Stack,results\figures\eis\individual\Stack1\Whole_Stack\0.7Acm2\0_AfterBreakIn_condition_7_Real_Ageing_EIS-7-0_7.png
Stack1,0_AfterBreakIn,0,7,0.7,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-7-0_7.xlsx,Sheet2,Cell 01,results\figures\eis\individual\Stack1\Cell_01\0.7Acm2\0_AfterBreakIn_condition_7_Real_Ageing_EIS-7-0_7.png
Stack1,0_AfterBreakIn,0,7,0.7,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-7-0_7.xlsx,Sheet3,Cell 03,results\figures\eis\individual\Stack1\Cell_03\0.7Acm2\0_AfterBreakIn_condition_7_Real_Ageing_EIS-7-0_7.png
Stack1,0_AfterBreakIn,0,7,0.7,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-7-0_7.xlsx,Sheet4,Cell 05,results\figures\eis\individual\Stack1\Cell_05\0.7Acm2\0_AfterBreakIn_condition_7_Real_Ageing_EIS-7-0_7.png
Stack1,0_AfterBreakIn,0,7,0.7,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-7-0_7.xlsx,Sheet5,Cell 10,results\figures\eis\individual\Stack1\Cell_10\0.7Acm2\0_AfterBreakIn_condition_7_Real_Ageing_EIS-7-0_7.png
Stack1,0_AfterBreakIn,0,7,0.7,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-7-0_7.xlsx,Sheet6,Cell 15,results\figures\eis\individual\Stack1\Cell_15\0.7Acm2\0_AfterBreakIn_condition_7_Real_Ageing_EIS-7-0_7.png
Stack1,0_AfterBreakIn,0,7,0.7,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-7-0_7.xlsx,Sheet7,Cell 20,results\figures\eis\individual\Stack1\Cell_20\0.7Acm2\0_AfterBreakIn_condition_7_Real_Ageing_EIS-7-0_7.png
Stack1,0_AfterBreakIn,0,7,0.7,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-7-0_7.xlsx,Sheet8,Cell 22,results\figures\eis\individual\Stack1\Cell_22\0.7Acm2\0_AfterBreakIn_condition_7_Real_Ageing_EIS-7-0_7.png
Stack1,0_AfterBreakIn,0,7,0.7,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-7-0_7.xlsx,Sheet9,Cell 24,results\figures\eis\individual\Stack1\Cell_24\0.7Acm2\0_AfterBreakIn_condition_7_Real_Ageing_EIS-7-0_7.png
Stack1,140Cycles,140,1,0.3,data\Stack1\EIS\140Cycles\Real_Ageing_EIS-1-0_3.xlsx,Sheet1,Whole Stack,results\figures\eis\individual\Stack1\Whole_Stack\0.3Acm2\140Cycles_condition_1_Real_Ageing_EIS-1-0_3.png
Stack1,140Cycles,140,1,0.3,data\Stack1\EIS\140Cycles\Real_Ageing_EIS-1-0_3.xlsx,Sheet2,Cell 01,results\figures\eis\individual\Stack1\Cell_01\0.3Acm2\140Cycles_condition_1_Real_Ageing_EIS-1-0_3.png
Stack1,140Cycles,140,1,0.3,data\Stack1\EIS\140Cycles\Real_Ageing_EIS-1-0_3.xlsx,Sheet3,Cell 03,results\figures\eis\individual\Stack1\Cell_03\0.3Acm2\140Cycles_condition_1_Real_Ageing_EIS-1-0_3.png
Stack1,140Cycles,140,1,0.3,data\Stack1\EIS\140Cycles\Real_Ageing_EIS-1-0_3.xlsx,Sheet4,Cell 05,results\figures\eis\individual\Stack1\Cell_05\0.3Acm2\140Cycles_condition_1_Real_Ageing_EIS-1-0_3.png
Stack1,140Cycles,140,1,0.3,data\Stack1\EIS\140Cycles\Real_Ageing_EIS-1-0_3.xlsx,Sheet5,Cell 10,results\figures\eis\individual\Stack1\Cell_10\0.3Acm2\140Cycles_condition_1_Real_Ageing_EIS-1-0_3.png
Stack1,140Cycles,140,1,0.3,data\Stack1\EIS\140Cycles\Real_Ageing_EIS-1-0_3.xlsx,Sheet6,Cell 15,results\figures\eis\individual\Stack1\Cell_15\0.3Acm2\140Cycles_condition_1_Real_Ageing_EIS-1-0_3.png
Stack1,140Cycles,140,1,0.3,data\Stack1\EIS\140Cycles\Real_Ageing_EIS-1-0_3.xlsx,Sheet7,Cell 20,results\figures\eis\individual\Stack1\Cell_20\0.3Acm2\140Cycles_condition_1_Real_Ageing_EIS-1-0_3.png
Stack1,140Cycles,140,1,0.3,data\Stack1\EIS\140Cycles\Real_Ageing_EIS-1-0_3.xlsx,Sheet8,Cell 22,results\figures\eis\individual\Stack1\Cell_22\0.3Acm2\140Cycles_condition_1_Real_Ageing_EIS-1-0_3.png
Stack1,140Cycles,140,1,0.3,data\Stack1\EIS\140Cycles\Real_Ageing_EIS-1-0_3.xlsx,Sheet9,Cell 24,results\figures\eis\individual\Stack1\Cell_24\0.3Acm2\140Cycles_condition_1_Real_Ageing_EIS-1-0_3.png
Stack1,140Cycles,140,1,0.7,data\Stack1\EIS\140Cycles\Real_Ageing_EIS-1-0_7.xlsx,Sheet1,Whole Stack,results\figures\eis\individual\Stack1\Whole_Stack\0.7Acm2\140Cycles_condition_1_Real_Ageing_EIS-1-0_7.png
Stack1,140Cycles,140,1,0.7,data\Stack1\EIS\140Cycles\Real_Ageing_EIS-1-0_7.xlsx,Sheet2,Cell 01,results\figures\eis\individual\Stack1\Cell_01\0.7Acm2\140Cycles_condition_1_Real_Ageing_EIS-1-0_7.png
Stack1,140Cycles,140,1,0.7,data\Stack1\EIS\140Cycles\Real_Ageing_EIS-1-0_7.xlsx,Sheet3,Cell 03,results\figures\eis\individual\Stack1\Cell_03\0.7Acm2\140Cycles_condition_1_Real_Ageing_EIS-1-0_7.png
Stack1,140Cycles,140,1,0.7,data\Stack1\EIS\140Cycles\Real_Ageing_EIS-1-0_7.xlsx,Sheet4,Cell 05,results\figures\eis\individual\Stack1\Cell_05\0.7Acm2\140Cycles_condition_1_Real_Ageing_EIS-1-0_7.png
Stack1,140Cycles,140,1,0.7,data\Stack1\EIS\140Cycles\Real_Ageing_EIS-1-0_7.xlsx,Sheet5,Cell 10,results\figures\eis\individual\Stack1\Cell_10\0.7Acm2\140Cycles_condition_1_Real_Ageing_EIS-1-0_7.png
Stack1,140Cycles,140,1,0.7,data\Stack1\EIS\140Cycles\Real_Ageing_EIS-1-0_7.xlsx,Sheet6,Cell 15,results\figures\eis\individual\Stack1\Cell_15\0.7Acm2\140Cycles_condition_1_Real_Ageing_EIS-1-0_7.png
Stack1,140Cycles,140,1,0.7,data\Stack1\EIS\140Cycles\Real_Ageing_EIS-1-0_7.xlsx,Sheet7,Cell 20,results\figures\eis\individual\Stack1\Cell_20\0.7Acm2\140Cycles_condition_1_Real_Ageing_EIS-1-0_7.png
Stack1,140Cycles,140,1,0.7,data\Stack1\EIS\140Cycles\Real_Ageing_EIS-1-0_7.xlsx,Sheet8,Cell 22,results\figures\eis\individual\Stack1\Cell_22\0.7Acm2\140Cycles_condition_1_Real_Ageing_EIS-1-0_7.png
Stack1,140Cycles,140,1,0.7,data\Stack1\EIS\140Cycles\Real_Ageing_EIS-1-0_7.xlsx,Sheet9,Cell 24,results\figures\eis\individual\Stack1\Cell_24\0.7Acm2\140Cycles_condition_1_Real_Ageing_EIS-1-0_7.png
Stack1,204Cycles,204,1,0.3,data\Stack1\EIS\204Cycles\Real_Ageing_EIS-1-0_3.xlsx,Sheet1,Whole Stack,results\figures\eis\individual\Stack1\Whole_Stack\0.3Acm2\204Cycles_condition_1_Real_Ageing_EIS-1-0_3.png
Stack1,204Cycles,204,1,0.3,data\Stack1\EIS\204Cycles\Real_Ageing_EIS-1-0_3.xlsx,Sheet2,Cell 01,results\figures\eis\individual\Stack1\Cell_01\0.3Acm2\204Cycles_condition_1_Real_Ageing_EIS-1-0_3.png
Stack1,204Cycles,204,1,0.3,data\Stack1\EIS\204Cycles\Real_Ageing_EIS-1-0_3.xlsx,Sheet3,Cell 03,results\figures\eis\individual\Stack1\Cell_03\0.3Acm2\204Cycles_condition_1_Real_Ageing_EIS-1-0_3.png
Stack1,204Cycles,204,1,0.3,data\Stack1\EIS\204Cycles\Real_Ageing_EIS-1-0_3.xlsx,Sheet4,Cell 05,results\figures\eis\individual\Stack1\Cell_05\0.3Acm2\204Cycles_condition_1_Real_Ageing_EIS-1-0_3.png
Stack1,204Cycles,204,1,0.3,data\Stack1\EIS\204Cycles\Real_Ageing_EIS-1-0_3.xlsx,Sheet5,Cell 10,results\figures\eis\individual\Stack1\Cell_10\0.3Acm2\204Cycles_condition_1_Real_Ageing_EIS-1-0_3.png
Stack1,204Cycles,204,1,0.3,data\Stack1\EIS\204Cycles\Real_Ageing_EIS-1-0_3.xlsx,Sheet6,Cell 15,results\figures\eis\individual\Stack1\Cell_15\0.3Acm2\204Cycles_condition_1_Real_Ageing_EIS-1-0_3.png
Stack1,204Cycles,204,1,0.3,data\Stack1\EIS\204Cycles\Real_Ageing_EIS-1-0_3.xlsx,Sheet7,Cell 20,results\figures\eis\individual\Stack1\Cell_20\0.3Acm2\204Cycles_condition_1_Real_Ageing_EIS-1-0_3.png
